School,OFF Rating,DEF Rating,OVR Rating,OFF Rank,DEF Rank,OVR Rank
Christian Brothers College,37.84,27.15,64.99,1,4,1
Jefferson City,32.28,28.54,60.82,4,3,2
Blue Springs South,27.04,32.86,59.9,11,1,3
Webb City,34.45,24.22,58.68,3,12,4
Ft. Zumwalt West,35.82,21.86,57.67,2,20,5
Rockhurst,24.57,32.5,57.07,14,2,6
Francis Howell,30.64,25.16,55.8,5,9,7
Lee's Summit West,29.94,25.6,55.55,8,7,8
Staley,30.24,23.85,54.09,6,13,9
Kirkwood,29.83,23.68,53.51,9,14,10
Blue Springs,30.03,22.51,52.54,7,18,11
Webster Groves,26.96,21.33,48.29,12,24,12
Parkway Central,21.81,25.14,46.96,21,10,13
McCluer North,21.61,24.88,46.49,22,11,14
Bolivar,22.53,23.0,45.53,16,16,15
De Smet Jesuit,23.72,20.93,44.65,15,26,16
Fort Osage,17.93,26.32,44.25,31,6,17
SLUH,28.21,14.66,42.88,10,50,18
Savannah,20.31,21.86,42.16,26,21,19
Hazelwood East,22.1,19.55,41.65,19,33,20
Kearney,14.23,26.93,41.16,47,5,21
Nixa,18.2,21.62,39.83,29,22,22
MICDS,24.93,14.54,39.47,13,52,23
Platte County,18.48,20.31,38.79,28,28,24
Cassville,16.93,21.37,38.3,36,23,25
Ritenour,17.07,20.86,37.92,34,27,26
Eureka,22.28,13.53,35.8,17,59,27
Harrisonville,12.82,22.73,35.55,56,17,28
Farmington,20.87,14.22,35.1,25,53,29
Hickman,9.42,25.52,34.94,81,8,30
Lafayette (Wildwood),13.76,21.06,34.81,49,25,31
Maryville,15.55,19.19,34.73,39,34,32
Lamar,20.89,13.79,34.69,24,57,33
Hillcrest,14.57,19.99,34.56,45,29,34
Carthage,16.53,18.02,34.55,37,37,35
Logan-Rogersville,19.2,15.15,34.35,27,48,36
Hazelwood Central,11.91,22.02,33.94,65,19,37
Rockwood Summit,13.86,19.8,33.66,48,30,38
Ozark,17.35,15.95,33.29,33,45,39
Ladue Horton Watkins,22.01,10.94,32.94,20,76,40
Helias Catholic,15.34,17.44,32.78,41,39,41
Winnetonka,8.62,23.13,31.75,85,15,42
Richmond,15.08,16.31,31.39,43,42,43
Lindbergh,10.47,19.65,30.12,77,32,44
Osage,14.96,13.74,28.7,44,58,45
Glendale,22.28,5.24,27.52,18,117,46
Gateway,15.15,11.48,26.63,42,71,47
Smithville,13.65,12.87,26.52,50,63,48
Hannibal,8.87,17.28,26.14,84,40,49
Raytown South,6.07,19.74,25.81,100,31,50
Central (St. Joseph),15.39,10.37,25.77,40,83,51
John Burroughs,12.77,12.78,25.55,57,64,52
Union,21.35,4.18,25.54,23,127,53
Lafayette County,11.29,14.09,25.38,70,54,54
Concordia,16.37,8.62,24.99,38,91,55
Parkway North,12.39,12.32,24.72,61,67,56
Chaminade College Prep,10.87,13.39,24.27,74,60,57
Liberty,7.92,16.04,23.95,91,44,58
Liberty North,12.32,11.1,23.42,62,75,59
Macon,4.93,18.36,23.29,113,36,60
Park Hill,4.61,18.49,23.11,118,35,61
Park Hill South,5.36,17.51,22.88,105,38,62
Blair Oaks,17.99,4.06,22.05,30,131,63
Liberty (Mountain View),14.44,7.46,21.9,46,96,64
Springfield Catholic,10.79,10.93,21.72,75,78,65
Oak Grove,4.8,16.72,21.52,116,41,66
Valle Catholic,11.53,9.92,21.45,68,85,67
St. Francis Borgia,12.21,8.76,20.97,63,89,68
Truman,11.75,9.22,20.97,67,87,69
Raytown,5.54,14.66,20.2,104,51,70
McCluer,13.1,7.0,20.1,52,101,71
Aurora,3.96,15.63,19.59,122,47,72
Boonville,3.15,16.26,19.41,130,43,73
Hillsboro,13.25,5.64,18.89,51,113,74
Sikeston,12.9,5.9,18.8,54,110,75
Raymore-Peculiar,12.92,5.84,18.77,53,111,76
Troy Buchanan,2.92,15.74,18.67,134,46,77
Branson,9.92,8.6,18.51,79,92,78
Pleasant Hill,4.82,13.37,18.19,115,61,79
Kickapoo,5.75,12.12,17.87,102,68,80
Camdenton,5.12,12.66,17.78,111,65,81
Lafayette (St. Joseph),12.6,5.08,17.67,59,119,82
Lebanon,11.49,5.48,16.97,69,116,83
Grain Valley,17.01,-0.12,16.89,35,161,84
St. Clair,5.14,11.74,16.89,110,69,85
Seneca,12.62,3.99,16.61,58,132,86
Lee's Summit North,17.64,-1.47,16.17,32,173,87
Lee's Summit,4.7,11.26,15.96,117,72,88
Holt,1.18,14.75,15.93,148,49,89
Parkway South,1.89,14.0,15.89,141,56,90
Hazelwood West,5.63,10.22,15.85,103,84,91
Pattonville,1.35,14.07,15.42,146,55,92
Miller Career Academy,12.47,2.34,14.81,60,143,93
Monett,4.06,10.73,14.79,121,79,94
Vianney,3.18,11.5,14.69,129,70,95
Mehlville,3.56,10.93,14.49,126,77,96
St. Charles West,3.81,10.5,14.31,125,81,97
Normandy Collaborative,3.04,11.25,14.29,133,73,98
Maplewood-Richmond Hts.,5.85,8.33,14.17,101,94,99
Centralia,7.56,6.46,14.03,95,105,100
Ft. Zumwalt North,11.82,1.93,13.75,66,147,101
Waynesville,12.88,0.87,13.75,55,155,102
University City,10.92,1.56,12.49,73,151,103
Oakville,8.32,4.16,12.48,89,128,104
Carl Junction,1.16,11.18,12.34,150,74,105
Sullivan,-1.32,13.06,11.74,165,62,106
Wellington-Napoleon,6.11,5.51,11.61,99,115,107
Republic,0.77,10.64,11.41,154,80,108
Caruthersville,11.95,-0.58,11.37,64,163,109
Dexter,11.05,0.27,11.32,71,157,110
Ste. Genevieve,8.13,3.0,11.13,90,138,111
Brookfield,5.31,5.77,11.09,107,112,112
Penney,3.04,7.36,10.4,132,97,113
O'Hara,5.34,4.72,10.06,106,121,114
Ft. Zumwalt South,3.89,6.08,9.97,124,108,115
Francis Howell Central,4.97,4.07,9.04,112,130,116
South Callaway,-3.57,12.39,8.83,195,66,117
Lawson,0.26,8.47,8.73,157,93,118
Excelsior Springs,10.77,-2.05,8.71,76,183,119
Tipton,10.96,-2.37,8.58,72,186,120
Belton,5.27,3.21,8.48,108,137,121
Riverview Gardens,10.37,-1.9,8.47,78,179,122
Benton,7.91,0.43,8.34,92,156,123
Jennings,3.95,4.36,8.31,123,126,124
Seckman,0.99,7.31,8.29,153,98,125
Ft. Zumwalt East,9.34,-1.26,8.08,82,168,126
Hogan Prep Academy Charter,0.41,7.64,8.05,156,95,127
Clark County,1.08,6.86,7.94,152,102,128
Joplin,9.29,-1.66,7.62,83,175,129
Timberland,9.43,-1.9,7.53,80,178,130
Mountain Grove,-1.79,9.14,7.35,171,88,131
Drexel with Miami (Amoret),1.26,6.08,7.34,147,107,132
Willard,-3.19,10.42,7.23,189,82,133
Thayer,3.48,3.74,7.22,127,135,134
West Platte,8.48,-1.38,7.1,87,172,135
Festus,2.32,4.66,6.98,137,122,136
Neosho,-0.03,6.6,6.57,158,104,137
North Kansas City,-0.68,7.22,6.54,161,99,138
Clinton,-0.24,6.07,5.83,159,109,139
Marquette,-1.01,6.76,5.75,162,103,140
Holden,8.4,-3.65,4.75,88,194,141
Fair Grove,6.15,-1.76,4.39,98,176,142
Eldon,2.31,2.01,4.32,138,145,143
Central (Cape Girardeau),3.1,1.11,4.22,131,152,144
Moberly,-5.54,9.3,3.77,208,86,145
California,-3.5,7.13,3.63,193,100,146
Lutheran North,1.62,1.66,3.28,143,150,147
Chillicothe,-1.37,4.54,3.17,166,124,148
Grandview,7.75,-4.58,3.17,94,202,149
Versailles,-1.28,4.41,3.12,164,125,150
Trinity Catholic,8.6,-6.27,2.33,86,215,151
St. Pius X (Kansas City),2.11,0.12,2.23,139,158,152
East Buchanan,7.91,-5.75,2.16,93,213,153
St. Dominic,-6.89,8.72,1.83,218,90,154
Rolla,-1.88,2.56,0.67,172,141,155
Salisbury,1.58,-1.0,0.58,144,167,156
Parkview,-5.09,5.63,0.54,205,114,157
Fox,-4.72,5.1,0.38,202,118,158
Miller,5.22,-5.1,0.12,109,205,159
Renaissance Academy Charter,1.95,-1.85,0.1,140,177,160
Center,-4.58,4.63,0.05,200,123,161
Warrensburg,-2.49,2.3,-0.19,177,144,162
McDonald County,4.85,-5.07,-0.22,114,204,163
Smith-Cotton,6.86,-7.21,-0.35,97,225,164
Nevada,-6.55,6.17,-0.39,213,106,165
McCluer South-Berkeley,-5.61,5.07,-0.53,209,120,166
Mt. Vernon,-2.57,1.67,-0.9,178,149,167
Cardinal Ritter,-3.1,1.98,-1.12,187,146,168
Westran,-3.71,2.35,-1.36,196,142,169
St. Mary's South Side,-3.23,1.8,-1.43,190,148,170
Parkway West,-2.57,1.0,-1.57,179,153,171
University Academy Charter,-1.77,-0.04,-1.81,170,159,172
Van Horn,-4.91,2.6,-2.31,204,140,173
South Harrison,-2.77,-0.1,-2.87,182,160,174
William Chrisman,6.91,-9.81,-2.9,96,242,175
Ruskin,-6.9,3.86,-3.04,219,133,176
Central (Park Hills),-1.94,-1.27,-3.21,173,169,177
Vashon,-1.98,-1.37,-3.35,174,171,178
Polo,-1.56,-2.11,-3.66,168,184,179
Washington,3.19,-7.42,-4.23,128,228,180
Mexico,2.55,-7.08,-4.52,135,222,181
Midway,-3.16,-1.47,-4.64,188,174,182
Hayti,-3.88,-0.88,-4.76,197,166,183
Salem,-9.15,4.15,-5.0,232,129,184
Poplar Bluff,0.47,-5.48,-5.01,155,207,185
DeSoto with Kingston,1.1,-6.37,-5.27,151,216,186
Cameron,-2.61,-2.74,-5.35,180,187,187
Ava,-3.45,-1.91,-5.36,191,180,188
Butler,-8.17,2.69,-5.48,225,139,189
Oak Park,-2.32,-3.16,-5.48,176,189,190
Kirksville,4.42,-10.21,-5.79,120,243,191
Monroe City,-6.87,0.91,-5.95,217,154,192
Soldan International Studies,-1.18,-4.84,-6.02,163,203,193
Francis Howell North,-1.77,-4.49,-6.26,169,200,194
Lathrop,-2.81,-4.21,-7.02,183,199,195
Marshfield,2.51,-9.75,-7.25,136,241,196
Clayton,-2.21,-5.59,-7.8,175,210,197
Strafford,-4.67,-3.43,-8.1,201,192,198
Priory,-2.96,-5.17,-8.13,185,206,199
Pembroke Hill,-2.68,-5.52,-8.21,181,208,200
Owensville,4.43,-12.65,-8.22,119,262,201
North Platte,-12.13,3.7,-8.44,251,136,202
East Newton,-6.79,-1.94,-8.73,216,181,203
Duchesne,-8.73,-0.57,-9.29,230,162,204
Veritas Christian Academy,1.73,-11.4,-9.67,142,255,205
Pacific,-6.5,-3.36,-9.86,212,191,206
South Shelby,-5.98,-3.98,-9.95,210,197,207
Jackson,-9.67,-0.7,-10.37,237,164,208
Central (Springfield),-0.49,-10.34,-10.83,160,246,209
Southern Boone,-4.41,-7.08,-11.5,199,223,210
Milan,-10.39,-1.36,-11.75,242,170,211
Trenton,-8.77,-3.31,-12.08,231,190,212
Skyline,-6.28,-6.22,-12.5,211,214,213
North Callaway,-3.52,-9.05,-12.57,194,237,214
Crystal City,-7.15,-5.52,-12.67,220,209,215
Clopton with Elsberry,-4.0,-8.71,-12.71,198,234,216
Gallatin,-8.24,-4.53,-12.76,226,201,217
Archie,-5.51,-7.34,-12.85,207,227,218
Osceola,-11.25,-2.24,-13.48,245,185,219
El Dorado Springs,-5.19,-8.34,-13.53,206,232,220
Buffalo,-2.86,-10.73,-13.59,184,249,221
West Plains,-3.0,-10.96,-13.95,186,250,222
North County,-8.35,-5.7,-14.05,229,212,223
St. James,1.18,-15.27,-14.1,149,278,224
Lutheran South,1.49,-16.51,-15.02,145,284,225
Bishop LeBlond,-4.81,-10.29,-15.11,203,245,226
Fredericktown,-8.16,-6.96,-15.12,224,221,227
Westminster Christian Academy,-19.24,3.85,-15.38,292,134,228
Princeton with Mercer,-11.64,-4.06,-15.7,248,198,229
Adrian,-15.42,-0.72,-16.14,276,165,230
Northwest (Cedar Hill),-9.58,-6.68,-16.26,236,218,231
Roosevelt,-12.72,-3.55,-16.27,256,193,232
Lincoln College Prep,-12.83,-3.89,-16.72,257,196,233
Marionville,-14.98,-2.0,-16.98,271,182,234
Marceline,-13.12,-3.88,-17.01,260,195,235
Warrenton,-9.45,-8.78,-18.22,234,235,236
Charleston,-11.5,-6.74,-18.24,246,219,237
Malden,-1.37,-17.23,-18.6,167,287,238
Palmyra,-13.19,-5.6,-18.79,261,211,239
Cleveland NJROTC,-7.39,-11.59,-18.97,221,257,240
Lexington,-9.53,-9.56,-19.08,235,239,241
Bowling Green,-9.4,-10.43,-19.83,233,247,242
Sherwood,-6.71,-13.67,-20.38,214,270,243
Louisiana,-12.63,-7.77,-20.39,254,230,244
Ash Grove,-8.28,-12.37,-20.65,228,260,245
Odessa,-8.06,-13.03,-21.09,223,265,246
Transportation and Law with Beaumont,-11.55,-9.71,-21.27,247,240,247
Sumner,-18.88,-2.97,-21.85,289,188,248
Herculaneum,-15.4,-6.63,-22.03,274,217,249
Windsor (Imperial),-11.09,-11.01,-22.1,244,252,250
King City with Pattonsburg,-10.93,-11.18,-22.11,243,254,251
Lone Jack,-8.27,-14.1,-22.37,227,272,252
Imagine College Prep Charter,-11.65,-11.0,-22.65,249,251,253
Cabool,-14.78,-7.93,-22.72,269,231,254
St. Paul Lutheran (Concordia),-15.72,-7.31,-23.03,278,226,255
Potosi,-14.78,-8.62,-23.4,268,233,256
Santa Fe,-14.22,-9.44,-23.66,266,238,257
St. Charles,-3.49,-20.72,-24.22,192,303,258
Montgomery County,-6.75,-18.39,-25.15,215,292,259
Brentwood,-18.03,-7.16,-25.19,286,224,260
Carrollton,-18.54,-6.93,-25.47,288,220,261
Chaffee,-9.89,-15.59,-25.48,240,279,262
Hallsville,-15.3,-10.23,-25.54,273,244,263
Scott City,-13.58,-12.46,-26.03,262,261,264
Hermann,-12.68,-13.47,-26.15,255,269,265
Reeds Spring,-12.43,-13.86,-26.29,252,271,266
Crest Ridge,-10.01,-16.43,-26.44,241,283,267
Lockwood with Golden City,-13.68,-12.78,-26.46,263,263,268
Mark Twain,-13.1,-13.41,-26.5,259,268,269
Bishop DuBourg,-9.85,-17.36,-27.21,239,288,270
Plattsburg,-19.66,-7.75,-27.41,294,229,271
St. Vincent,-12.55,-15.77,-28.32,253,280,272
Greenfield,-18.5,-10.55,-29.05,287,248,273
Knob Noster,-15.69,-13.36,-29.06,277,267,274
Mid-Buchanan,-16.76,-12.36,-29.12,282,259,275
Carnahan,-14.31,-14.94,-29.26,267,276,276
Marshall,-17.79,-11.74,-29.53,284,258,277
Willow Springs,-16.98,-13.03,-30.01,283,266,278
Orchard Farm,-19.37,-11.17,-30.53,293,253,279
Kennett,-9.79,-21.38,-31.17,238,304,280
Hollister,-14.17,-17.13,-31.3,265,285,281
Paris,-13.78,-17.71,-31.49,264,290,282
Pierce City,-12.05,-19.48,-31.53,250,298,283
Affton,-15.8,-16.25,-32.05,280,282,284
Central (Kansas City),-23.8,-8.86,-32.66,307,236,285
Stockton,-15.72,-17.2,-32.93,279,286,286
Sarcoxie,-12.88,-20.38,-33.26,258,301,287
Highland,-19.17,-14.11,-33.28,291,273,288
Scotland County,-15.41,-18.24,-33.65,275,291,289
