School,OFF Rating,DEF Rating,OVR Rating,OFF Rank,DEF Rank,OVR Rank
Lee's Summit West,34.85,27.27,62.12,1,3,1
Staley,34.3,27.13,61.43,2,4,2
Kirkwood,32.17,27.76,59.93,3,2,3
Webster Groves,28.69,24.06,52.75,4,7,4
Parkway Central,24.77,26.95,51.72,5,5,5
Fort Osage,21.29,29.85,51.14,8,1,6
Hazelwood East,24.38,20.9,45.28,6,12,7
Nixa,19.65,23.48,43.13,9,8,8
Winnetonka,11.2,26.92,38.12,21,6,9
Ozark,19.09,17.76,36.86,11,14,10
Rockwood Summit,13.75,21.62,35.36,16,10,11
Central (St. Joseph),19.2,14.05,33.25,10,19,12
Glendale,23.62,7.15,30.77,7,32,13
Raytown South,8.27,21.48,29.75,27,11,14
Park Hill South,9.13,20.06,29.19,26,13,15
Park Hill,6.02,22.71,28.73,34,9,16
Parkway North,13.27,14.49,27.76,19,17,17
Chaminade College Prep,13.41,13.24,26.64,18,22,18
Raytown,8.2,17.12,25.32,28,15,19
Truman,13.78,10.92,24.7,15,26,20
McCluer,14.68,9.71,24.39,12,29,21
Lee's Summit,7.86,14.2,22.05,30,18,22
Branson,11.18,10.01,21.19,22,28,23
Camdenton,7.55,13.11,20.66,31,23,24
Kickapoo,6.56,13.47,20.03,32,21,25
Lebanon,13.59,6.28,19.87,17,35,26
Normandy Collaborative,4.84,14.01,18.86,37,20,27
Holt,1.13,16.37,17.5,44,16,28
Waynesville,14.25,1.87,16.12,14,41,29
Ft. Zumwalt North,13.05,2.62,15.66,20,39,30
Vianney,2.08,12.88,14.96,40,24,31
Belton,8.17,5.22,13.39,29,36,32
Riverview Gardens,14.37,-1.01,13.35,13,44,33
North Kansas City,1.98,10.28,12.26,41,27,34
Ft. Zumwalt South,5.0,6.8,11.81,35,33,35
Willard,-1.65,11.9,10.26,47,25,36
Seckman,2.11,8.05,10.16,39,30,37
Ft. Zumwalt East,9.88,0.14,10.01,24,43,38
Neosho,1.44,6.64,8.07,43,34,39
Timberland,10.57,-2.7,7.87,23,45,40
Parkview,-4.14,7.32,3.18,48,31,41
Rolla,-0.37,3.55,3.18,45,37,42
William Chrisman,9.41,-7.15,2.26,25,49,43
Smith-Cotton,6.55,-5.61,0.94,33,48,44
Washington,4.95,-5.22,-0.27,36,47,45
Parkway West,-1.62,1.12,-0.5,46,42,46
Poplar Bluff,3.98,-4.59,-0.61,38,46,47
Ruskin,-4.21,2.25,-1.96,49,40,48
Jackson,-9.87,3.54,-6.33,50,38,49
Central (Springfield),1.54,-9.36,-7.82,42,51,50
Oak Park,-20.23,-7.87,-28.1,51,50,51
